1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 170000004B8E2221
Is Mission Active?  true
Mission Start:  Sat Apr 15 07:05:00 PDT 2023
Sample Rate:  Every 50 minute(s)
Number of Mission Samples:  1651
Total Samples:  8900
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
4/15/23 7:05:00 AM,C,2.5
4/15/23 7:55:00 AM,C,3.5
4/15/23 8:45:00 AM,C,5.5
4/15/23 9:35:00 AM,C,7.5
4/15/23 10:25:00 AM,C,10
4/15/23 11:15:00 AM,C,13.5
4/15/23 12:05:00 PM,C,38
4/15/23 12:55:00 PM,C,43.5
4/15/23 1:45:00 PM,C,44.5
4/15/23 2:35:00 PM,C,46.5
4/15/23 3:25:00 PM,C,45.5
4/15/23 4:15:00 PM,C,44.5
4/15/23 5:05:00 PM,C,43
4/15/23 5:55:00 PM,C,36.5
4/15/23 6:45:00 PM,C,27.5
4/15/23 7:35:00 PM,C,17.5
4/15/23 8:25:00 PM,C,15
4/15/23 9:15:00 PM,C,13.5
4/15/23 10:05:00 PM,C,12.5
4/15/23 10:55:00 PM,C,11.5
4/15/23 11:45:00 PM,C,11
4/16/23 12:35:00 AM,C,10.5
4/16/23 1:25:00 AM,C,9.5
4/16/23 2:15:00 AM,C,9.5
4/16/23 3:05:00 AM,C,8
4/16/23 3:55:00 AM,C,8
4/16/23 4:45:00 AM,C,7.5
4/16/23 5:35:00 AM,C,7.5
4/16/23 6:25:00 AM,C,7
4/16/23 7:15:00 AM,C,7
4/16/23 8:05:00 AM,C,8.5
4/16/23 8:55:00 AM,C,11
4/16/23 9:45:00 AM,C,14.5
4/16/23 10:35:00 AM,C,16
4/16/23 11:25:00 AM,C,25.5
4/16/23 12:15:00 PM,C,29
4/16/23 1:05:00 PM,C,25.5
4/16/23 1:55:00 PM,C,27
4/16/23 2:45:00 PM,C,29
4/16/23 3:35:00 PM,C,30
4/16/23 4:25:00 PM,C,27
4/16/23 5:15:00 PM,C,25
4/16/23 6:05:00 PM,C,24
4/16/23 6:55:00 PM,C,20
4/16/23 7:45:00 PM,C,14
4/16/23 8:35:00 PM,C,11.5
4/16/23 9:25:00 PM,C,10.5
4/16/23 10:15:00 PM,C,10
4/16/23 11:05:00 PM,C,9
4/16/23 11:55:00 PM,C,8
4/17/23 12:45:00 AM,C,7.5
4/17/23 1:35:00 AM,C,7
4/17/23 2:25:00 AM,C,7
4/17/23 3:15:00 AM,C,5.5
4/17/23 4:05:00 AM,C,5
4/17/23 4:55:00 AM,C,5
4/17/23 5:45:00 AM,C,6
4/17/23 6:35:00 AM,C,4
4/17/23 7:25:00 AM,C,6
4/17/23 8:15:00 AM,C,7.5
4/17/23 9:05:00 AM,C,10
4/17/23 9:55:00 AM,C,12
4/17/23 10:45:00 AM,C,13.5
4/17/23 11:35:00 AM,C,19.5
4/17/23 12:25:00 PM,C,20.5
4/17/23 1:15:00 PM,C,18
4/17/23 2:05:00 PM,C,15.5
4/17/23 2:55:00 PM,C,23.5
4/17/23 3:45:00 PM,C,18.5
4/17/23 4:35:00 PM,C,18
4/17/23 5:25:00 PM,C,19.5
4/17/23 6:15:00 PM,C,16
4/17/23 7:05:00 PM,C,11.5
4/17/23 7:55:00 PM,C,8.5
4/17/23 8:45:00 PM,C,7.5
4/17/23 9:35:00 PM,C,6
4/17/23 10:25:00 PM,C,4.5
4/17/23 11:15:00 PM,C,4.5
